title,company,location,salary_ngn,skills,experience,job_type,source
Cloud Engineer,PiggyVest,Lagos,415000,"Azure, Terraform, Docker",Senior Level,Remote,Nigerian Job Market 2024
Business Analyst,Talentbase,Enugu,248000,"JIRA, Requirements Analysis",Entry Level,Hybrid,Nigerian Job Market 2024
Machine Learning Engineer,Softcom,Ibadan,397000,"TensorFlow, SQL",Entry Level,Remote,Nigerian Job Market 2024
Full Stack Developer,Airtel Nigeria,Lagos,320000,"Python, Docker, REST API",Senior Level,Remote,Nigerian Job Market 2024
API Developer,HRLeverage,Remote,320000,"SQL, REST API",Mid Level,Hybrid,Nigerian Job Market 2024
Machine Learning Engineer,Dangote Group,Ibadan,814000,"PyTorch, Python, MLOps, TensorFlow",Mid Level,Contract,Nigerian Job Market 2024
DevOps Engineer,Talentbase,Remote,378000,"Terraform, Linux, AWS",Mid Level,Contract,Nigerian Job Market 2024
Machine Learning Engineer,Airtel Nigeria,Abuja,383000,"SQL, Docker, PyTorch, Python",Entry Level,Contract,Nigerian Job Market 2024
Business Analyst,Access Bank,Remote,424000,"Excel, Power BI",Entry Level,Contract,Nigerian Job Market 2024
API Developer,Paystack,Remote,498000,"REST API, Postman, FastAPI",Mid Level,Hybrid,Nigerian Job Market 2024
DevOps Engineer,SystemSpecs,Lagos,588000,"Linux, CI/CD",Lead,Remote,Nigerian Job Market 2024
Mobile Developer,Talentbase,Enugu,201000,"React Native, Firebase, Flutter, Swift",Entry Level,Full Time,Nigerian Job Market 2024
IT Support Engineer,PiggyVest,Port Harcourt,97000,"Networking, Windows Server, ITIL",Lead,Remote,Nigerian Job Market 2024
IT Support Engineer,MTN Nigeria,Port Harcourt,177000,"ITIL, SQL, Networking",Senior Level,Full Time,Nigerian Job Market 2024
Python Developer,Flutterwave,Lagos,455000,"SQL, Django, Docker",Senior Level,Hybrid,Nigerian Job Market 2024
Machine Learning Engineer,Jumia,Remote,857000,"Docker, SQL, TensorFlow",Senior Level,Contract,Nigerian Job Market 2024
Data Scientist,Flutterwave,Ibadan,346000,"Python, Pandas, SQL, TensorFlow",Mid Level,Full Time,Nigerian Job Market 2024
Backend Developer,Paystack,Ibadan,504000,"FastAPI, PostgreSQL",Entry Level,Hybrid,Nigerian Job Market 2024
DevOps Engineer,SystemSpecs,Ibadan,419000,"Kubernetes, Docker, Terraform, AWS",Senior Level,Remote,Nigerian Job Market 2024
Software Engineer,Jumia,Kano,354000,"Agile, Docker",Senior Level,Remote,Nigerian Job Market 2024
